Date,PNB Price,PNB Open,PNB High,PNB Low,PNB Vol.,Change %,HDFC Price,HDFC Open,HDFC High,HDFC Low,HDFC Vol.,HDFC Change %,,,Dropdown,,,,,,,,,Date,HDFC Price,PNB Price
20-12-2024,868.85,873,878.95,843.2,1.40M,-0.37%,623.8,619.7,626.5,618.2,4.00M,0.04%,,1,HDFC Price,,STOCK,,,,,,,20-12-2024,623.80,868.85
19-12-2024,872.1,862.5,885.65,851.85,723.29K,-0.10%,623.55,618.05,625,615.3,3.78M,-0.16%,,,,,HDFC,,,,,,,19-12-2024,623.55,872.1
18-12-2024,873,892.8,892.8,869,542.53K,-1.84%,624.55,623.15,629.8,620.3,4.33M,-0.35%,,2,PNB Price,,,,,,,,,18-12-2024,624.55,873
17-12-2024,889.4,920,921.6,884.05,750.81K,-3.51%,626.75,634.95,636.35,625.6,3.18M,-1.29%,,,,,,,,,,,,17-12-2024,626.75,889.4
16-12-2024,921.75,934.2,939.55,918.85,429.93K,-1.32%,634.95,632.55,636.4,628.55,2.18M,0.38%,,,,,,,,,,,,16-12-2024,634.95,921.75
13-12-2024,934.1,927.95,934.85,913.3,1.01M,0.66%,632.55,625,633.9,621.15,2.57M,0.96%,,,,,,,,,,,,13-12-2024,632.55,934.1
12-12-2024,927.95,939.9,948.3,918.5,1.51M,-1.27%,626.55,636,636.8,619.9,3.81M,-1.28%,,,,,,,,,,,,12-12-2024,626.55,927.95
11-12-2024,939.9,965,972.5,935.2,987.57K,-2.55%,634.65,634.8,640.6,632.8,2.40M,0.21%,,,,,,,,,,,,11-12-2024,634.65,939.9
10-12-2024,964.5,964.25,972,945.05,1.52M,0.54%,633.3,641.8,644.45,630.35,6.16M,-1.32%,,,,,,,,,,,,10-12-2024,633.30,964.5
09-12-2024,959.3,967.8,976.65,948.85,989.76K,-0.40%,641.8,637.9,646.35,634.7,4.03M,0.83%,,,,,,,,,,,,09-12-2024,641.80,959.3
06-12-2024,963.15,945,968.8,932.85,1.50M,2.13%,636.5,645,647.45,635.2,6.46M,-1.03%,,,,,,,,,,,,06-12-2024,636.50,963.15
05-12-2024,943.1,920,948.7,919.6,2.79M,3.16%,643.15,650.2,653.5,639.35,6.16M,-1.09%,,,,,,,,,,,,05-12-2024,643.15,943.1
04-12-2024,914.25,899,918.7,896,1.98M,3.31%,650.25,635,651,635,7.39M,2.56%,,,,,,,,,,,,04-12-2024,650.25,914.25
03-12-2024,884.95,884,896.85,875.55,666.58K,0.11%,634,646.8,646.8,632.3,8.26M,-0.97%,,,,,,,,,,,,03-12-2024,634.00,884.95
02-12-2024,884,891.7,891.7,867.85,754.30K,-0.86%,640.2,650,664,639.1,4.98M,-2.67%,,,,,,,,,,,,02-12-2024,640.20,884
29-11-2024,891.7,891.2,893.7,870.55,757.82K,0.94%,657.75,670,674.1,651.3,5.93M,0.01%,,,,,,,,,,,,29-11-2024,657.75,891.7
28-11-2024,883.4,876.45,895.75,867.75,941.56K,0.79%,657.7,682,690.15,638.65,13.63M,-3.36%,,,,,,,,,,,,28-11-2024,657.70,883.4
27-11-2024,876.45,868.45,888,859,955.79K,1.97%,680.55,681.85,689.3,679.3,2.42M,-0.27%,,,,,,,,,,,,27-11-2024,680.55,876.45
26-11-2024,859.55,866.3,872.6,849.7,993.40K,-0.78%,682.4,684,693.4,675,1.77M,-0.35%,,,,,,,,,,,,26-11-2024,682.40,859.55
25-11-2024,866.3,868,878.3,851.1,1.22M,1.37%,684.8,690,695.8,681.4,4.62M,-0.49%,,,,OPEN,618.05,,,,,,,25-11-2024,684.80,866.3
22-11-2024,854.6,866,871.15,829.5,2.91M,-1.32%,688.2,680,691.3,674.15,1.79M,2.05%,,,,HIGH,625,,,,,,,22-11-2024,688.20,854.6
21-11-2024,866.05,863,870,850.15,1.19M,0.10%,674.4,680.4,680.95,668.85,2.19M,-0.88%,,,,LOW,615.3,,,,,,,21-11-2024,674.40,866.05
19-11-2024,865.15,875,893.55,854.35,2.33M,-0.69%,680.4,688.05,693,668.3,6.44M,-1.46%,,,,52 WEEK HIGH,761.2,,,,,,,19-11-2024,680.40,865.15
18-11-2024,871.15,895,895,833.65,6.85M,-3.63%,690.5,687,693.95,682.5,1.67M,-0.50%,,,,52 WEEK LOW,511.4,,,,,,,18-11-2024,690.50,871.15
14-11-2024,904,935,944.3,894.95,2.88M,-2.23%,694,681.5,696.7,681.5,1.72M,1.31%,,,,,,,,,,,,14-11-2024,694.00,904
13-11-2024,924.65,949,952.85,905.05,31.41M,-5.95%,685.05,695,698.85,683.15,2.08M,-2.14%,,,,,,,,,,,,13-11-2024,685.05,924.65
12-11-2024,983.15,969.95,993.55,959.05,596.63K,1.69%,700,707.55,719.85,696.1,2.50M,-0.76%,,,,,,,,,,,,12-11-2024,700.00,983.15
11-11-2024,966.85,949.95,"1,011.90",939.6,2.51M,2.07%,705.35,704.1,711.6,695.8,1.89M,-0.44%,,,,,,,,,,,,11-11-2024,705.35,966.85
08-11-2024,947.2,971.15,974.15,941,462.04K,-2.38%,708.5,709.5,719.85,707,1.27M,-0.45%,,,,,,,,,,,,08-11-2024,708.50,947.2
07-11-2024,970.3,"1,003.00","1,025.20",964.4,749.27K,-2.90%,711.7,708.7,713.7,703.3,1.94M,0.42%,,,,,,,,,,,,07-11-2024,711.70,970.3
06-11-2024,999.25,982.9,"1,007.15",975.1,841.41K,1.37%,708.7,717,718,704.35,2.88M,-1.19%,,,,,,,,,,,,06-11-2024,708.70,999.25
05-11-2024,985.7,950.35,992.3,945,680.91K,3.64%,717.25,710.8,726.6,685.4,5.04M,0.90%,,,,,,,,,,,,05-11-2024,717.25,985.7
04-11-2024,951.1,965,997.95,945,1.39M,-1.76%,710.85,720.2,727.6,706.1,2.05M,-1.78%,,,,,,,,,,,,04-11-2024,710.85,951.1
01-11-2024,968.15,977.7,978.75,965,113.72K,0.11%,723.7,721.95,726,720.15,198.74K,0.49%,,,,,,,,,,,,01-11-2024,723.70,968.15
31-10-2024,967.05,925.75,977.5,917.15,1.34M,4.77%,720.15,723.1,726.75,713.15,2.03M,-0.95%,,,,,,,,,,,,31-10-2024,720.15,967.05
30-10-2024,923,922.6,940.8,915.1,776.66K,0.17%,727.05,744.25,745,724.55,1.65M,-2.07%,,,,,,,,,,,,30-10-2024,727.05,923
29-10-2024,921.4,910.25,927,893.75,1.27M,1.97%,742.4,718,745.1,708.15,4.59M,3.36%,,,,,,,,,,,,29-10-2024,742.40,921.4
28-10-2024,903.6,948.35,958.3,900,2.55M,-4.66%,718.25,710.25,721.8,705.7,1.45M,1.24%,,,,,,,,,,,,28-10-2024,718.25,903.6
25-10-2024,947.75,972,"1,034.95",938.55,8.27M,1.42%,709.45,718,719.7,700,2.85M,-0.76%,,,,,,,,,,,,25-10-2024,709.45,947.75
24-10-2024,934.45,937.95,984.4,925,1.59M,-1.39%,714.85,725,735,711.05,1.81M,-1.23%,,,,,,,,,,,,24-10-2024,714.85,934.45
23-10-2024,947.65,880,967.15,877.55,2.57M,8.38%,723.75,725,732,718.2,1.67M,-0.61%,,,,,,,,,,,,23-10-2024,723.75,947.65
22-10-2024,874.4,919.6,924.4,866.35,908.81K,-4.45%,728.2,745.8,749.75,724.35,3.35M,-2.37%,,,,,,,,,,,,22-10-2024,728.20,874.4
